tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,0.353,0.353,0.294,0.2884470588235294,0.7964,-0.5423,0.296,0.07118447190311418,0.155,0.767,0.078,17,non-rumours
"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",0.167,0.611,0.222,0.18455000000000002,0.6369,-0.7501,0.0,0.06840407361111112,0.041,0.901,0.058,18,non-rumours
Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,0.667,0.222,0.111,0.3825888888888889,0.4767,-0.8885,0.4404,0.0641143009876543,0.235,0.726,0.040,9,non-rumours
"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",0.154,0.462,0.385,0.2824923076923077,0.7579,-0.9287,0.1779,0.10397240071005917,0.072,0.756,0.173,13,non-rumours
"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",0.400,0.200,0.400,0.37254,0.7269,-0.5423,0.4404,0.06918688240000001,0.121,0.773,0.106,5,non-rumours
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",0.182,0.273,0.545,0.4486181818181818,0.4939,-0.8779,0.4939,0.1047427887603306,0.097,0.700,0.203,11,non-rumours
"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.",0.000,0.000,1.000,0.4759,-0.4019,-0.5499,0.4759,0.005476000000000005,0.064,0.666,0.269,2,non-rumours
"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",0.250,0.250,0.500,0.38665,0.4215,-0.802,0.43095,0.07762037583333335,0.172,0.624,0.204,12,non-rumours
This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,0.375,0.375,0.250,0.290075,0.7506,-0.4588,0.29575,0.07026699687500002,0.143,0.785,0.072,8,non-rumours
Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,0.250,0.450,0.300,0.28037999999999996,0.7115,-0.8402,0.1531,0.09886139460000001,0.070,0.834,0.096,20,non-rumours
"For those saying we don't yet know who's responsible for #CharlieHebdo killings, yes, you're right, it was probably fundamentalist atheists.",0.345,0.379,0.276,0.27002068965517245,0.8327,-0.7461,0.2732,0.06315919888228301,0.131,0.787,0.082,29,non-rumours
"Anybody who wants to talk about what Charlie Hebdo might have done to ""provoke"" this should probably shut up, forever.",0.667,0.000,0.333,0.50225,0.6597,-0.7717,0.49135,0.03575778583333333,0.221,0.616,0.163,6,non-rumours
Cowardly attack on Charlie Hebdo's offices. The humourless fanatics can fuck off. Freedom of speech is more important than your feelings.,0.389,0.111,0.500,0.4776888888888889,0.7753,-0.7269,0.56305,0.05859449765432098,0.159,0.617,0.224,18,non-rumours
The Guardian has live coverage of the Paris shooting at Charlie Hebdo  http://t.co/M27vO7xFIk,0.200,0.240,0.560,0.468412,0.6369,-0.9425,0.5719,0.09801987145599997,0.066,0.762,0.172,25,non-rumours
Appalled to hear news of apparent terrorist attack in Paris. My thoughts are with the family and friends of those killed.,0.304,0.174,0.522,0.41708260869565217,0.4019,-0.9578,0.3818,0.09361405621928165,0.085,0.704,0.211,23,non-rumours
in support of those that have died today in Paris #CharlieHebdo #freedomwillNeverDie http://t.co/FkkDZXChdt,0.500,0.000,0.500,0.50755,0.4588,-0.5563,0.50755,0.002376562500000002,0.214,0.577,0.209,2,non-rumours
"#Freespeech is a non-negotiable human right. We condemn the appalling attack on Charlie Hebdo, and any attempt to silence the free press.",1.000,0.000,0.000,0.296,0.296,0.296,0.296,0.0,0.167,0.833,0.000,1,non-rumours
"I'm uneasy with the portrayal of Charlie Hebdo as magazine that ""provokes"". No, it publishes cartoons. People choose how they react to that.",0.250,0.450,0.300,0.24767,0.6369,-0.9169,0.23775000000000002,0.07525778009999998,0.081,0.832,0.087,20,non-rumours
Not 1st attack on #CharlieHebdo. Office was firebombed on 2 Nov '11 over controvers. caricature of Prophet Muhammad http://t.co/0wAINRJ1Z7,0.125,0.500,0.375,0.252,0.34,-0.7964,0.16,0.0785638475,0.051,0.818,0.131,16,non-rumours
"Paris on maximum alert after #CharlieHebdo attack, officials say as President Hollande arrives at scene http://t.co/MmxR2nmi5R",0.389,0.222,0.389,0.31900555555555554,0.7506,-0.6258,0.31255,0.06116549052469136,0.190,0.718,0.092,18,non-rumours
Paris alert status raised to the highest level with #CharlieHebdo gunmen reportedly on the run http://t.co/xcK8lY9IeR http://t.co/tQuxQ06Q7f,0.286,0.429,0.286,0.35085,0.7506,-0.9081,0.31720000000000004,0.11759248964285715,0.116,0.745,0.140,14,non-rumours
"'...but I will to the death defend your right to say it'.

#charliehebdo
#voltaire http://t.co/oFEHT8Xx3v",0.250,0.250,0.500,0.38357500000000005,0.8519,-0.7131,0.4019,0.076236766875,0.104,0.788,0.108,20,non-rumours
VIDEO from the scene of fatal shooting in Paris http://t.co/sL3aG464Lt #CharlieHebdo http://t.co/FLC3mR5C2S,0.250,0.500,0.250,0.221575,0.3182,-0.5423,0.172,0.049906061875000005,0.114,0.732,0.154,4,non-rumours
It would go some way as a tribute to those killed at #CharlieHebdo if papers in every democracy published this Thurs http://t.co/CyqwWWWgJh,0.478,0.391,0.130,0.34604347826086956,0.8467,-0.7469,0.4019,0.09253330767485822,0.179,0.775,0.046,23,non-rumours
French president #Hollande says there is no doubt attack on #CharlieHebdo is terrorist attack. http://t.co/Rve1Lp0EXf http://t.co/8LFA5LFSnS,0.143,0.286,0.571,0.41374285714285713,0.4019,-0.8602,0.4588,0.08739683959183672,0.040,0.804,0.156,7,non-rumours
DEVELOPING: Paris on high terrorist alert after #CharlieHebdo shooting - Hollande http://t.co/3Jsosc7yl3 http://t.co/Lvv3J8o6e8,0.500,0.000,0.500,0.62835,0.296,-0.9607,0.62835,0.11045652250000002,0.119,0.613,0.268,2,non-rumours
Check this photo via journo @EliseBarthet. Alleged pic of the gunmen facing a police car near #CharlieHebdo offices: http://t.co/eBpt190LD0,0.474,0.105,0.421,0.4548684210526315,0.8316,-0.8225,0.4939,0.06265743689750693,0.192,0.678,0.130,19,non-rumours
"We don't know who carried out Charlie Hebdo attack. However if they were Muslims, then they are the enemies of me and most other Muslims.",0.118,0.235,0.647,0.39818529411764697,0.8689,-0.8885,0.41169999999999995,0.09228425301903112,0.072,0.749,0.179,34,non-rumours
Here are some of the satirical pictures Charlie Hebdo have produced #freespeech #BanIslam http://t.co/m4OaNCf5e0,0.267,0.300,0.433,0.4111633333333333,0.807,-0.8689,0.4215,0.1001865003222222,0.139,0.695,0.166,30,non-rumours
#CharlieHebdo: Love is stronger than hate. http://t.co/23KHz2OsH3,0.250,0.312,0.438,0.37964375000000006,0.7506,-0.8176,0.4853,0.0826063249609375,0.157,0.604,0.240,16,non-rumours
#CharlieHebdo - Hollande: Media shooting was 'undoubtedly terrorist attack'. Photo: Kenzo Tribouillard #AFP http://t.co/ZK41w7J7yc,0.000,0.333,0.667,0.4111666666666667,0.0,-0.8316,0.4019,0.11530269555555556,0.055,0.669,0.276,3,non-rumours
Spread this cover in solidarity with the victims at Charlie Hebdo. Don't let the sword conquer the pen. http://t.co/XVkPPbkLhn,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
TREND IT #IStandWithFrance http://t.co/7M7PwFJnkz,0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
BREAKING: Astonishing video of the Paris terror attack as it was happening &gt; http://t.co/sglPyWCWhL (via @BBCDanielS ) #CharlieHebdo,0.300,0.200,0.500,0.39701,0.5859,-0.8807,0.42115,0.07263864390000001,0.086,0.748,0.166,20,non-rumours
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,0.396,0.232,0.372,0.3921842281879193,0.9635,-0.943,0.4215,0.08607721199957223,0.127,0.746,0.126,298,non-rumours
Video of #terrorists attacking Charlie Hebdo HQ in Paris http://t.co/SdniwkJtT1 http://t.co/z6O8IhNjCk,0.143,0.429,0.429,0.36351428571428573,0.4019,-0.7925,0.4019,0.11391455836734694,0.088,0.652,0.260,7,non-rumours
"Six days after Charlie Hebdo’s offices were firebombed, their front cover was this. “Love is stronger than hate.” http://t.co/7YInU4Cc00",0.269,0.308,0.423,0.34413461538461537,0.7263,-0.9022,0.3389,0.09434745841715976,0.133,0.704,0.163,26,non-rumours
Shocked &amp; appalled by senseless attack at 'Charlie Hebdo' - London stands with Paris &amp; the people of France against this horrific scourge,0.250,0.250,0.500,0.4224625,0.8331,-0.8221,0.42115,0.08270187859374999,0.156,0.670,0.174,16,non-rumours
BREAKING: French government raises security alert to highest level after deadly attack at magazine Charlie Hebdo. http://t.co/ak9mTVfJdR,0.286,0.143,0.571,0.2899142857142857,0.6369,-0.5423,0.2023,0.05257508408163265,0.110,0.688,0.203,7,non-rumours
"Charlie Hebdo, we love you",0.667,0.333,0.000,0.36395,0.802,0.0,0.2899,0.11411033583333334,0.226,0.738,0.036,6,non-rumours
"I don't support the cartoons or language published by publishers BUT #CharlieHebdo attack is indeed ""sickening"". 11 dead in #terrorattack",0.500,0.111,0.389,0.47468333333333335,0.7893,-0.8531,0.50055,0.0699729736111111,0.117,0.753,0.130,18,non-rumours
Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. #CharlieHebdo,0.214,0.143,0.643,0.5185107142857144,0.9052,-0.9477,0.6157999999999999,0.10415231809948981,0.098,0.691,0.211,28,non-rumours
Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,0.000,0.250,0.750,0.507725,0.0,-0.8885,0.5711999999999999,0.10414995187499998,0.019,0.736,0.246,4,non-rumours
France raises national alert system to highest level after attack at Charlie Hebdo HQ http://t.co/TyRyAhzSPP http://t.co/cWYQCmwg0z,0.222,0.389,0.389,0.2895166666666667,0.676,-0.6808,0.3071,0.0687978036111111,0.056,0.855,0.089,18,non-rumours
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/Mbn5SiWA7Z",0.333,0.444,0.222,0.28781111111111113,0.6186,-0.5423,0.4588,0.06810174098765431,0.156,0.674,0.170,9,non-rumours
"""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo http://t.co/87cB3mWVAQ",0.222,0.444,0.333,0.27995555555555557,0.4404,-0.8271,0.2732,0.08174064469135804,0.088,0.812,0.101,9,non-rumours
How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this. http://t.co/sC2ot63F6j,0.357,0.357,0.286,0.26866428571428574,0.5859,-0.8176,0.2687,0.06393447301020408,0.097,0.806,0.098,28,non-rumours
There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo http://t.co/RhBpC5Iwh9,0.400,0.100,0.500,0.4387200000000001,0.7351,-0.7506,0.48245000000000005,0.0790535816,0.138,0.668,0.194,10,non-rumours
"Worth remembering Jens Stoltenberg's words after Utøya: ""Our response is more democracy, more openness and more humanity"" #CharlieHebdo",0.273,0.455,0.273,0.3026454545454546,0.5574,-0.946,0.296,0.09453867884297519,0.106,0.796,0.098,11,non-rumours
#CharlieHebdo Attack. I have just been asked by AlJazeera if CharlieHebdo journalists should apologize (for making fun at Islamists).,0.192,0.192,0.615,0.3786538461538461,0.6486,-0.8885,0.43590000000000007,0.08040255479289941,0.084,0.686,0.230,26,non-rumours
LATEST: At least 11 dead in shooting at French magazine #CharlieHebdo; France raises terror alert to highest level http://t.co/JVRjF5b1lw,0.306,0.333,0.361,0.34778888888888887,0.8807,-0.8225,0.3715,0.0902114715432099,0.115,0.749,0.136,36,non-rumours
#France has a problem (and quite a serious one) #CharlieHebdo http://t.co/H15l2ARF3d,0.444,0.333,0.222,0.26707777777777775,0.6858,-0.4005,0.296,0.05188673061728396,0.151,0.741,0.108,9,non-rumours
Masked gunmen pictured near #CharlieHebdo offices http://t.co/Zvfj25EnEc http://t.co/qTWhoLqICk,0.182,0.545,0.273,0.26264545454545457,0.4648,-0.8979,0.0,0.11709118247933882,0.029,0.882,0.089,11,non-rumours
Fact: Most every journalist in India will stand with #CharlieHebdo. But not one publication will reprint their most controversial work.,0.364,0.303,0.333,0.32954545454545453,0.936,-0.836,0.296,0.09306135520661155,0.118,0.797,0.085,33,non-rumours
"We condemn the attack on #CharlieHebdo Whomever the attackers are, and whatever the cause may be, nothing justifies the taking of life",0.400,0.200,0.400,0.426335,0.6597,-0.9147,0.4767,0.08837748927500001,0.137,0.746,0.117,20,non-rumours
The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers http://t.co/QeDw4tRoK9,0.281,0.234,0.484,0.43951093750000014,0.8885,-0.9497,0.5095000000000001,0.09850782441162109,0.149,0.656,0.195,64,non-rumours
"The 2011 issue of Charlie Hebdo, whose cover featured Mohammed. http://t.co/eSflYdFBRH",0.286,0.250,0.464,0.3359785714285715,0.7717,-0.872,0.389,0.07459027239795919,0.094,0.773,0.133,28,non-rumours
Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris http://t.co/5AZAKumpNd http://t.co/ECFYztMVk9,0.353,0.176,0.471,0.4660705882352941,0.7579,-0.9171,0.4404,0.07773179854671282,0.169,0.687,0.144,17,non-rumours
"Quran says: Whoever kills an innocent soul.. it is as if they had killed the entire humanity.
#CharlieHebdo #Paris http://t.co/UinZ805MpA",0.301,0.258,0.441,0.3966118279569891,0.9295,-0.9403,0.4019,0.09998985824719618,0.116,0.727,0.157,93,non-rumours
"Showing solidarity with the victims is necessary, but not enough. We must insist to coexist, and reject those who don't. #CharlieHebdo",0.353,0.235,0.412,0.32428235294117647,0.6369,-0.7269,0.34,0.053748377923875434,0.058,0.858,0.084,17,non-rumours
Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris. http://t.co/ZRSbE9Fc1L http://t.co/tE7KwlhuSN,0.286,0.214,0.500,0.5198785714285715,0.7906,-0.8126,0.6396,0.09196276882653062,0.123,0.688,0.189,14,non-rumours
"Parisian doctor: ""Let's all subscribe to #CharlieHebdo...It'll be in my waiting room until I retire."" via @bourmeau http://t.co/3IjTQCk3o7",0.500,0.333,0.167,0.2803833333333333,0.7424,-0.4404,0.24975,0.06654516138888887,0.252,0.699,0.049,6,non-rumours
I wish that all news outlets publish #CharlieHebdo 's cartoons/satire tomorrow on their front pages as a tribute to the dead. RIP,0.273,0.455,0.273,0.2880636363636364,0.7351,-0.7615,0.3089,0.0820741641322314,0.117,0.777,0.106,11,non-rumours
"Forget truth, today even satire is unacceptable.
#CharlieHebdo",0.286,0.143,0.571,0.44017142857142855,0.4939,-0.886,0.4767,0.0642265506122449,0.170,0.665,0.165,7,non-rumours
"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/5fzKhE1LdJ",0.300,0.400,0.300,0.18119,0.4019,-0.3612,0.17379999999999998,0.030003488900000007,0.055,0.881,0.064,10,non-rumours
Freedom of speech is a right as much as a cause worth fighting for. Obscurantism is a danger made real today #CharlieHebdo,1.000,0.000,0.000,0.743,0.743,0.743,0.743,0.0,0.344,0.656,0.000,1,non-rumours
"In reporting the story, the Telegraph has pixilated Charlie Hebdo's La Vie De Mahomet: http://t.co/ElhnzUNr0A http://t.co/jdHLcQBtfp",0.222,0.333,0.444,0.30819259259259263,0.743,-0.7579,0.296,0.07871137401920437,0.107,0.700,0.193,27,non-rumours
Headline from #CharlieHebdo this week: ISIS executes Phorphet Mohamed; police chase terrorists http://t.co/4qqVIjLP8A http://t.co/1zJuiZVLf3,0.500,0.200,0.300,0.30008,0.6124,-0.4019,0.3609,0.0408922156,0.163,0.753,0.084,10,non-rumours
"Bad bad day for press freedom, freedom of expression and satire. 
Thoughts with relatives of victims at #CharlieHebdo",0.250,0.375,0.375,0.24263749999999998,0.2263,-0.7906,0.16515000000000002,0.06975078234375001,0.136,0.576,0.288,8,non-rumours
"I've seen one national newspaper pixelate out the cover of Charlie Hebdo - the self-censorship begins. Terrorists 1, Enlightenment 0",0.217,0.217,0.565,0.4260652173913044,0.8462,-0.8611,0.4847,0.08478759835538754,0.102,0.708,0.190,46,non-rumours
From 2011: France's Charlie Hebdo newspaper has long reveled in the art of provocation http://t.co/etWcBzHpnl,0.500,0.222,0.278,0.3860666666666667,0.6369,-0.7698,0.40164999999999995,0.057697432222222234,0.206,0.680,0.114,18,non-rumours
Time to #TakeAStand #IAmCharlieHebdo #CharlieHebdo http://t.co/V9ZUa4VRJy,0.217,0.391,0.391,0.2905304347826087,0.7579,-0.7579,0.2023,0.08194244907372401,0.059,0.823,0.119,23,non-rumours
"I'm no fan of #charliehebdo but this is a sickening, terrifying, unjustifiable attack on journalists. My thoughts &amp; prayers with the victims",0.238,0.333,0.429,0.3238095238095238,0.7195,-0.8331,0.3182,0.08308882562358277,0.095,0.779,0.126,21,non-rumours
"Between governrment attacks and terrorist attacks, it's hard to be a journalist these days. #Charlie #hebdo",0.500,0.167,0.333,0.37118333333333337,0.6597,-0.296,0.35875,0.04575060472222222,0.252,0.639,0.109,6,non-rumours
Wide and uncompromising condemnations on Arab Twitter of insane attack on #CharlieHebdo - I hope everyone sees this. Don't focus on fools.,0.364,0.182,0.455,0.4511545454545454,0.5574,-0.8519,0.5367,0.07099872975206613,0.203,0.640,0.157,11,non-rumours
I support #CharlieHebdo and a free press. Please RT these cartoons to show a united and dignified defiance. http://t.co/Mc2aOwSHYA,0.231,0.462,0.308,0.2731384615384615,0.8671,-0.8225,0.128,0.09932103005917159,0.222,0.663,0.115,13,non-rumours
Condolences to staff at Charlie Hebdo &amp; their loved ones. They stood for free speech &amp; paid with their lives.  I stand with #CharlieHebdo,0.290,0.226,0.484,0.4033129032258065,0.7184,-0.91,0.4404,0.0868535198335068,0.105,0.728,0.167,31,non-rumours
Utterly disgusting. @AlJazeera blaming free speech and Berlin protests for attack on #CharlieHebdo,0.550,0.200,0.250,0.334585,0.7579,-0.6166,0.3612,0.04730244127500001,0.151,0.765,0.084,20,non-rumours
What we know about the gunmen in the #CharlieHebdo attack: http://t.co/z4xLMmeDl5 (Pic: Gelbard/AFP/Getty) http://t.co/KKtg9fGeba,0.347,0.245,0.408,0.38889387755102034,0.8455,-0.8807,0.4215,0.08217056832986255,0.123,0.751,0.126,49,non-rumours
"Sirens on my Paris street. Poor Charlie Hebdo, poor families, poor kids who live here, poor local muslims who will get blame, poor Paris",0.286,0.190,0.524,0.36654761904761907,0.6486,-0.8126,0.4215,0.05905406725623581,0.111,0.703,0.186,21,non-rumours
The attack on #CharlieHebdo is cowardly and senseless.. As a Muslim I am outraged by what happened today. Prayers to the families,0.250,0.208,0.542,0.44693333333333324,0.7096,-0.9061,0.49135,0.09065265722222222,0.159,0.632,0.209,24,non-rumours
Never was it more appropriate to say “F*** ‘em if they can’t take a joke”. Charlie Hebdo an absolute equal opportunity offender of satire.,0.333,0.185,0.481,0.33381111111111106,0.7269,-0.7339,0.3612,0.06385221432098767,0.125,0.751,0.124,27,non-rumours
Good backgrounder from The New Yorker from 2012: The Charlie Hebdo Affair: Laughing at Blasphemy http://t.co/LDwDceoxFg,0.000,0.000,1.000,0.8519,-0.8519,-0.8519,0.8519,0.0,0.089,0.468,0.443,1,non-rumours
"#CharlieHebdo Satire was the father of true political freedom, born in the 18th century; the scourge of bigots and tyrants. Sing its praises",0.333,0.306,0.361,0.2924416666666666,0.886,-0.8271,0.1522,0.08559486965277781,0.143,0.731,0.125,36,non-rumours
"It is speculative, but judging by video &amp; imagery from scene of #CharlieHebdo attack, these gunmen are not amateurs - they look experienced.",0.263,0.474,0.263,0.2571263157894737,0.5574,-0.7579,0.1761,0.07694671667590028,0.049,0.868,0.082,19,non-rumours
"Journalists, admin staff and police officers among those injured in #CharlieHebdo attack http://t.co/cMsu4ASQjl http://t.co/zqkHLJK5b9",0.238,0.190,0.571,0.4896142857142857,0.6369,-0.9547,0.4939,0.08494391646258503,0.104,0.660,0.236,21,non-rumours
"RAW VIDEO (WARNING GRAPHIC):
Terror Attack on Charlie Hebdo Paris Headquarters:
https://t.co/QZo3WBXHfD via @NomaNescio 
#ParisShooting",0.115,0.269,0.615,0.36436153846153846,0.6486,-0.8883,0.296,0.09404525005917158,0.058,0.742,0.199,26,non-rumours
"Killing writers and journalists and cartoonists will not silence them but make their voices louder.
#CharlieHebdo",0.167,0.167,0.667,0.36341666666666667,0.7964,-0.6705,0.3318,0.08731727805555556,0.118,0.781,0.101,6,non-rumours
Do not share the video of masked gunmen at #CharlieHebdo offices executing a police officer. It is barbaric &amp; his life should be respected.,0.333,0.267,0.400,0.37790000000000007,0.7717,-0.9118,0.3612,0.102099032,0.141,0.711,0.148,15,non-rumours
Attempts to extend blame for this to all Muslims should be treated with the same disgust as attempts to justify the attacks. #CharlieHebdo,0.200,0.067,0.733,0.5190133333333333,0.8807,-0.8106,0.5719,0.0667633584888889,0.081,0.683,0.236,15,non-rumours
"#Picture
IS terrorist scum executes injured police man in #Paris.
#CharlieHebdo http://t.co/wov8G7GL0b",0.250,0.150,0.600,0.51944,0.8583,-0.8686,0.61215,0.09243715039999997,0.087,0.678,0.235,20,non-rumours
Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report http://t.co/gjTbTOQIMo http://t.co/IIKBOs2Puk,0.088,0.353,0.559,0.30846764705882357,0.7506,-0.8462,0.296,0.08371984571799305,0.043,0.757,0.200,34,non-rumours
#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice http://t.co/eoDTplTQll,0.200,0.000,0.800,0.62292,0.4404,-0.9522,0.4883,0.05408642160000001,0.159,0.567,0.274,5,non-rumours
"As a Muslim, killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",0.224,0.236,0.540,0.4166103244837758,0.8935,-0.9607,0.4588,0.09083131933293288,0.101,0.712,0.187,339,non-rumours
Oh God my heart is sick at this Charlie Hebdo news. One of the only brave newspapers in the world.,0.500,0.167,0.333,0.49704166666666666,0.7506,-0.7506,0.5818,0.07292600909722223,0.191,0.649,0.160,12,non-rumours
In sympathy and solidarity with @Charlie_Hebdo_  #CharlieHebdo http://t.co/W2CBdVJ0k6,0.444,0.333,0.222,0.29793333333333333,0.6369,-0.5267,0.3182,0.054029977777777786,0.178,0.708,0.114,9,non-rumours
"When an ideology resorts to murdering satirists, it is publically admitting how weak, insecure &amp; ridiculous it is. #CharlieHebdo",0.227,0.273,0.500,0.3960045454545455,0.6486,-0.7579,0.52705,0.08849581588842975,0.083,0.769,0.148,22,non-rumours
Follow this list for journalists &amp; media outlets covering the attack on #CharlieHebdo magazine in Paris: http://t.co/6njHXoEbq4,0.300,0.300,0.400,0.42867000000000005,0.836,-0.886,0.44620000000000004,0.10534862809999998,0.202,0.662,0.135,10,non-rumours
Lets play a game. This will be blamed on (a) Racism of Charlie Hebdo (b) Poverty (c) Colonial France (d) Evil of Free Speech,0.125,0.500,0.375,0.28209375000000003,0.2732,-0.9217,0.05135,0.11656438933593749,0.041,0.813,0.146,16,non-rumours
"Even for a hardened news man, today's mass shooting at #CharlieHebdo is ferociously shocking - writes @JonSnowC4 http://t.co/AcIzmQcx0a",0.333,0.000,0.667,0.5079666666666667,0.4767,-0.5267,0.5205,0.0004952088888888876,0.159,0.706,0.136,3,non-rumours
