tweet_text,reaction_text,tweet_type,reaction_num
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",which libertarian is doing that? in what context?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Didn't know journalists killed them. Thanks for head- oh wait you're a shit.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",None that I know of. That would be nonsense.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",what are you trying to say?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","police action is arguably top down, thats the appropriate response to this crime",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",BTW it does look as though I was right.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",You want to justify the killing as if the journalists killed muslims.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",do I? can you support that defamation with evidence?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Ah, I now understand your ""group responsibility"" tweet (I think). A good point.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",cheers. Times like this when libertarians distinguish themselves fm bigots.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",the reason you can't find evidence is that your statement was a complete and brainless lie,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",You're the one trying to justify an attack like this by putting one group in a muh victim spotlight.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",you won't find anywhere that I've done that. You are just making it up and lying about me.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",please explain.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","you are exposing you're state of mind, not mine.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Ad hominem won't safe you now. You wanted proof.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",and I'm still waiting for it. (wasn't the ad hom. attack yours?),non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I just showed you the picture where you tried to use some sort of victim complex. But whatever.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",but I didn't do that either.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Then what were you trying to say with the tweet?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","Let me give you have clue, do you think brainless violence justified more brainless violence?",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",No. Do you think one leads to the other?,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","then how can I possibly have been""justifying"" the attack?",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",It just seems you were trying to give a reason for the attacks.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","so you withdraw your lie that I was ""justifying"" or in anyway supporting the attack.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Maybe justifying was indeed the wrong word. Trying to reason the attack is what I meant.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",They were probably angry Muslims.Unfortunately the threat has been for years,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","But no one knew the time of the tweet, as are you aware.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","There was a good idea from the beginning, from what I understand.Anyway, it's a depressing fact that this was just a matter of time.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I think it's the Jedi- that darned Force again....or it could be Mossad...or Area 51..,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Try Martians! Now the Middle East will go.into denial mode. Will blame Jewish conspiracy.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",I slipped the other day and hurt myself......I had no option but to blame the Jews.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",you are a genuine fuckhead. Go back to posting photos about how you changed the colour of your cocksucking lips,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",that is literally the least intimidating tweet I've ever read. You'll have to try a LOT harder than that.,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","I'm not trying to intimidate you. Sorry that it's not all about you, I'll try to pout and hopefully that ""intimidates"" you",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","what are you trying to do then? With your ""get off twitter"" stuff? Make a positive contribution to the world? Jeez.",non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",Go for it. Unless you're too scared to show your face :-),non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",speaking of positive contribution to the world.....You're clearly in love with muslims and good luck to you supporting terrorism,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",probably 1 or 2 muzzies who wouldn't mind stabbing me for lies I've exposed of theirs. They don't like when facts are leaked,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",You really don't understand do you? It genuinely doesn't matter to me what you say. It's completely meaningless. x,non-rumours,108
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",they are pretty slippery-those Jews!,non-rumours,108
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"The time of wonders is not over.For once, I agree with the Prime Minister.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,We have a smart and knowledgeable prime minister;),non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Well, nowadays won't be delighted with this.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,you are confusing  freedom of speech with freedom to offend,non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,You are confusing freedom of speech with freedom to offend what to others is inviolable or sacrosanct. CHARLIEHEBDO,non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"No, actually he's not. Making fun/satirising myths, fables, ideas, goes with the freedom of speech.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"If you're offended by something I say, it's really your problem. Thus ""freedom of speach""",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,Lotta only said the fact.:),non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"and who is the one deciding What is offence and What freedom if speech, you?",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Not certainly pseudo-cultural or pseudo-intellectual bullism. Who r u, who am I, who r they must nt be above respect.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,Correct. Bullying shouldn't be approved in the name of freedom of speech. CHARLIEHEBDO did wrong too.,non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"He is, unfortunately. Bullying shouldn't be accepted in the name of freedom of speech. CHARLIEHEBDO",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Bullying??? The whole world should stop questioning (religious) ideas, coz 20% of the people might get offended?",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"I take offence how the Muslims treat women and minorities, yet they are free to preach about it-&gt; freedom of speech",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,it's a sign of a civilised country that you can make fun of anyone. Incl. leaders &amp; certainly imaginary beings,non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Making fun / questioning, and being excessively vulgar, disrespectful and rude, are two completely different things.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Pointing out those things, is naturally ok. Involving obscene blasphemy and grossness, is not.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Not in my / most of the civilised worlds book. Offence can not be given, it can only be taken.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Blasphemy!? A law that an omnipotent, omniscient being wont get his feelings hurt. What a joke!! :-D",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Exactly, I just point them out, don't go shooting people.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"That magazine satirised every major religion and world leader, yet only one of those groups murdered 13 people.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Stop for a second and think. Since there's no law against what they did, you're saying it was ok to kill them?",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,They were even accused of anti-Semitism coz they made fun of Jews. I'm sure the Muslims laughed at those pictures.,non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Islam forbids one to draw Muhammad. Fine. The people doing the drawing weren't Muslims, so the rule doesn't apply.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"If this Allan akubar exists, those cartoonist would suffer forever after their NATURAL death. That knowledge should be enough.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"No, a law, that majority of people (and all existing cultures), would have right to have smt sacred still.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Yup, but these IMMORAL ""artists"" at CHARLIEHEBDO, did much worse things without any taste or limits.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Sure, they can not be killed multiple times. But it's true, there is aggression problem in extreme jihadists.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Some douchebag might have laughed, doesn't make the pictures right then again.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Heh, maybe you have to stop now. Where did I say anything like it was ok to kill them?",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"I'm not speaking about that. I'm speaking, that it has nothing to do with freedom of speech, but severe bullyism.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"Here you're partly right, and defo it was INCORRECT to kill anyone, but to accept what they draw and martyring them, is wrong too.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"But since it's a different thing to different people, we'll end up in a society that can't ridicule anything.",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,"""If you don't want your beliefs to be ridiculed, don't have such ridiculous beliefs"" - someone",non-rumours,298
We strongly condemn the horrible shooting at #CharlieHebdo. We must all stand up for freedom of speech and expression. @Charlie_Hebdo_,We'll end up with this.,non-rumours,298
